stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,800,0.7,136,724,0.12448152495994047,0.6410662366187306
10-6,1000,0.7,136,724,0.12576194570334803,0.6476602633831762
10-6,1200,0.7,136,724,0.12518677448760074,0.644698194539553
10-6,400,0.9,136,724,0.13253448375099056,0.6825380934865313
10-6,600,0.9,136,724,0.13213530724978612,0.6804823781708962
10-6,800,0.9,136,724,0.13206110391777912,0.6801002391280976
10-6,1000,0.9,136,724,0.1329157025979554,0.6845013288472045
10-6,1200,0.9,136,724,0.13254093859691202,0.6825713352369368
10-6,400,0.1,136,725,0.08274061624845054,0.42610512275599416
10-6,600,0.1,136,725,0.0878033708859068,0.45217775532859933
10-6,800,0.1,136,725,0.08769916618411322,0.4516411125132234
10-6,1000,0.1,136,725,0.08336480212074385,0.4293196117191589
10-6,1200,0.1,136,725,0.08435694677879953,0.4344290481783107
10-6,400,0.3,136,725,0.09192497384421328,0.4734035597053408
10-6,600,0.3,136,725,0.09324245857252902,0.4801884619376667
10-6,800,0.3,136,725,0.09273449669326342,0.4775725138249538
10-6,1000,0.3,136,725,0.09211042419302728,0.47435860871548174
10-6,1200,0.3,136,725,0.09229157348885877,0.4752915077732512
10-6,400,0.5,136,725,0.11163446900832008,0.5749053037960814
10-6,600,0.5,136,725,0.11286909880627097,0.5812635122004565
10-6,800,0.5,136,725,0.11340498275117807,0.5840232558968528
10-6,1000,0.5,136,725,0.11030337099719165,0.5680502946464153
10-6,1200,0.5,136,725,0.11078692675789317,0.5705405539182872
10-6,400,0.7,136,725,0.12547806882606524,0.6461983285182127
10-6,600,0.7,136,725,0.12613478656485763,0.6495803530352154
10-6,800,0.7,136,725,0.12664711306510928,0.6522187784685644
10-6,1000,0.7,136,725,0.1247015958351727,0.6421995775528163
10-6,1200,0.7,136,725,0.12465358859082316,0.6419523454958866
10-6,400,0.9,136,725,0.13270043009943283,0.6833926990282833
10-6,600,0.9,136,725,0.13306415984825093,0.6852658674466179
10-6,800,0.9,136,725,0.13346571066546678,0.6873338102299874
10-6,1000,0.9,136,725,0.13238454452076961,0.6817659228526144
10-6,1200,0.9,136,725,0.13226642318793264,0.6811576109096931
10-6,400,0.1,146,721,0.08155342009470967,0.41999119243057587
10-6,600,0.1,146,721,0.08552708337670104,0.4404551236572861
10-6,800,0.1,146,721,0.08710479495775207,0.44858016571521125
10-6,1000,0.1,146,721,0.08380485969101031,0.4315858600685191
10-6,1200,0.1,146,721,0.08605468371556571,0.44317220768870036
10-6,400,0.3,146,721,0.09125077227183032,0.4699314953578879
10-6,600,0.3,146,721,0.0916768547159418,0.47212577333627676
10-6,800,0.3,146,721,0.09158718697590561,0.47166399428376593
10-6,1000,0.3,146,721,0.09195153605995685,0.4735403522108027
10-6,1200,0.3,146,721,0.09194497378063343,0.4735065571901291
10-6,400,0.5,146,721,0.10951854913032087,0.5640085478830074
10-6,600,0.5,146,721,0.11112573620825014,0.5722853855255566
10-6,800,0.5,146,721,0.10987798977954913,0.5658596279076351
10-6,1000,0.5,146,721,0.11175497465427671,0.575525894690751
10-6,1200,0.5,146,721,0.11050764307212346,0.5691022734871709
10-6,400,0.7,146,721,0.12392675290882853,0.6382092212415328
10-6,600,0.7,146,721,0.1249213307182802,0.6433311881642136
10-6,800,0.7,146,721,0.1241968348512823,0.6396001137011427
10-6,1000,0.7,146,721,0.1254424777914735,0.6460150385833373
10-6,1200,0.7,146,721,0.12481449615339191,0.6427810018415784
10-6,400,0.9,146,721,0.13173427026634738,0.6784170815752709
10-6,600,0.9,146,721,0.1322624324015228,0.6811370587962311
10-6,800,0.9,146,721,0.1321720702397918,0.6806717035479541
10-6,1000,0.9,146,721,0.1328690049598751,0.6842608411193047
10-6,1200,0.9,146,721,0.13242827519817066,0.6819911310575694
10-6,400,0.1,146,722,0.08418970533044152,0.4335677730136625
10-6,600,0.1,146,722,0.08314740748212891,0.4282000531109011
10-6,800,0.1,146,722,0.08510304867261412,0.4382713913160233
10-6,1000,0.1,146,722,0.08302735408235813,0.42758179123461776
10-6,1200,0.1,146,722,0.0819102469153707,0.42182881152400686
10-6,400,0.3,146,722,0.092791360175173,0.47786535453654166
10-6,600,0.3,146,722,0.09186742300669891,0.4731071791875775
10-6,800,0.3,146,722,0.09224976178848056,0.47507618209004865
10-6,1000,0.3,146,722,0.09257225623396814,0.4767369932069248
10-6,1200,0.3,146,722,0.09174532251661063,0.47247837502008855
10-6,400,0.5,146,722,0.11234902953050104,0.5785852123201638
10-6,600,0.5,146,722,0.11085530999282392,0.5708927200977983
10-6,800,0.5,146,722,0.11210012919516753,0.5773034028201859
10-6,1000,0.5,146,722,0.11210575832649794,0.5773323922307718
10-6,1200,0.5,146,722,0.110405366554765,0.5685755606107135
10-6,400,0.7,146,722,0.12589853264925638,0.6483636712134778
10-6,600,0.7,146,722,0.1249655423768397,0.6435588733695204
10-6,800,0.7,146,722,0.12559137104954538,0.6467818225751044
10-6,1000,0.7,146,722,0.12594623985880485,0.6486093581240026
10-6,1200,0.7,146,722,0.12442838181265983,0.6407925552235176
10-6,400,0.9,146,722,0.13314248329893424,0.6856692246499033
10-6,600,0.9,146,722,0.13244424410752892,0.6820733691939393
10-6,800,0.9,146,722,0.13278283110986436,0.6838170552182313
