stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.5,400,0.1432673191587461,0.7823557248772341,136,721
10-5,0.5,600,0.14425607094364803,0.7877551113105314,136,721
10-5,0.5,800,0.14342152694858187,0.7831978244426276,136,721
10-5,0.5,1000,0.14477651763948055,0.7905971722520561,136,721
10-5,0.5,1200,0.14571444724302923,0.7957190283681398,136,721
10-5,0.7,400,0.14979046055699224,0.8179773659260678,136,721
10-5,0.7,600,0.14753536772611758,0.8056627306224681,136,721
10-5,0.7,800,0.1463933085548324,0.7994261615566821,136,721
10-5,0.7,1000,0.1466540062851238,0.8008497825398456,136,721
10-5,0.7,1200,0.14943710391231382,0.8160477521417738,136,721
10-5,0.9,400,0.15598653593267714,0.8518129613040107,136,721
10-5,0.9,600,0.15226406822861532,0.8314852694337076,136,721
10-5,0.9,800,0.14831591663847418,0.8099251605591393,136,721
10-5,0.9,1000,0.14796325488719872,0.8079993414562505,136,721
10-5,0.9,1200,0.15060459430404985,0.8224231962910551,136,721
10-5,0.1,400,0.09110461378493778,0.49750505960398733,136,722
10-5,0.1,600,0.093808070034134,0.5122681227082129,136,722
10-5,0.1,800,0.08321747940584476,0.4544349109434805,136,722
10-5,0.1,1000,0.08810321918328229,0.4811150115245719,136,722
10-5,0.1,1200,0.08578899251388347,0.4684774575164483,136,722
10-5,0.3,400,0.13496423068176974,0.7370141295834264,136,722
10-5,0.3,600,0.12136556110146136,0.6627543677665692,136,722
10-5,0.3,800,0.12025613073495954,0.6566959784305922,136,722
10-5,0.3,1000,0.1319900869757259,0.7207728934892913,136,722
10-5,0.3,1200,0.11791886355783268,0.6439326045688484,136,722
10-5,0.5,400,0.14541762739015265,0.7940981513075598,136,722
10-5,0.5,600,0.14246456136237054,0.7779720164266812,136,722
10-5,0.5,800,0.1460906395829498,0.7977733435638175,136,722
10-5,0.5,1000,0.14600101435375173,0.7972839171435545,136,722
10-5,0.5,1200,0.14255084620417002,0.7784432016233356,136,722
